"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"	Доп. описание показателя	Признак обязательности заполнения	Код показателя по структуре	ИД Табличного поля	Полное наименование колонки	Краткое наименование колонки	"Считать ИТОГИ в Подвале
Да - 1
Нет - 0"	Текст Подвала	Квалификаторы Типа (Длина, точность)	Ширина колонки Табличного поля	"Выбор из списка
1- Да
иначе - нет"	"Вызов Форм Заполнения
1- Да
иначе - нет
колонки с этим признаком не будут менять поведение при отключении выбора из списка

используется для ввода адреса в форме например по щелчку на ячейке"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
Раздел 1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000010000100		/	Ч	1	5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000101		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000102		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000103		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000104		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000105		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000106		/	Ч	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000107		/	Ч	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000108		/	Ч	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000109		/	Ч	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000110		/	Ч	1	4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000111		/	Ч	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000112		/	Ч	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000113		/	Ч	1	4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000114		/	Ч	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000115		/	Ч	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000116		/	Ч	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000117		/	Ч	1	4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000118		/	Ч	1	4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000010000206			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000207			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000208			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000209			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000210			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000211			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000212			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000213			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000214			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000215			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000216			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000217			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000218			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000010000300		/	Ч	1	5				П0000100003	"№
п/п"	"№
п/п"			6	8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000301		/	С	1	3				П0000100003	Вид продукции	Вид продукции		ИТОГО	254	30	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000010000302		/	С	1	3				П0000100003	"Код
вида
продукции"	"Код
продукции"			3	6	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000010000303		/	С	1	3				П0000100003	"Наименование
производителя/импортера"	"Производитель/импортер
Наименование"			254	20																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000304		/	С	1	3				П0000100003	"ИНН
производителя/
импортера"	"Производитель/
импортер
ИНН"			12	12																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000305		/	С	1	3				П0000100003	"КПП
производителя/
импортера"	"Производитель/
импортер
КПП"			9	9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000306		/	Ч	1	3				П0000100003	"Остаток
на начало
отчетного
периода"	"Остаток
на начало"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000307		/	Ч	1	3				П0000100003	"Поступление
Закупки
в том числе
от организаций-
производителей"	"Закупки от
производителей"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000308		/	Ч	1	3				П0000100003	"Поступление
Закупки
в том числе
от организаций
оптовой торговли"	"Закупки
опт. торговля"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000309		/	Ч	1	3				П0000100003	"Поступление
Закупки
в том числе
по импорту"	"Закупки
по импорту"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000310		/	Ч	1	4				П0000100003	"Поступление
Закупки
Итого"	"Закупки
ИТОГО"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000311		/	Ч	1	3				П0000100003	"Поступление
возврат
от
покупателя"	"Возврат
от покупателя"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000312		/	Ч	1	3				П0000100003	"Поступление
прочее
поступление"	"Прочее
поступление"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000313		/	Ч	1	4				П0000100003	"Поступление
Всего"	"Поступление
ВСЕГО"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000314		/	Ч	1	3				П0000100003	"Расход
объем
розничной
продажи"	"Продажи
в розницу"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000315		/	Ч	1	3				П0000100003	"Расход
прочий
расход"	"Прочий
расход"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000316		/	Ч	1	3				П0000100003	"Расход
возврат
поставщику"	"Возврат
поставщику"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000317		/	Ч	1	4				П0000100003	"Расход
Всего"	"Расход
ВСЕГО"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000010000318		/	Ч	1	4				П0000100003	"Остаток на конец
отчетного периода
всего"	"Остаток
на конец"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000010000406			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000407			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000408			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000409			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000410			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000411			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000412			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000413			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000414			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000415			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000416			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000417			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000010000418			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Раздел 2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000020000100		/	Ч	1	5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000101		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000102		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000103		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000104		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000105		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000106		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000107		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000108		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000109		/	Д	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000110		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000111		/	С	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
П000020000112		/	Ч	1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000020000212			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000020000300		/	Ч	1	5				П0000200003	"№
п/п"	"№
п/п"			6	8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000020000301		/	С	1	3				П0000200003	Вид продукции	Вид продукции		ИТОГО	254	30	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000020000302		/	С	1	3				П0000200003	"Код
вида
продукции"	"Код
продукции"			3	6	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000020000303		/	С	1	3				П0000200003	"Наименование
производителя/импортера"	"Производитель/импортер
Наименование"			254	20																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000020000304		/	С	1	3				П0000200003	"ИНН
производителя/
импортера"	"Производитель/
импортер
ИНН"			12	12																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000020000305		/	С	1	3				П0000200003	"КПП
производителя/
импортера"	"Производитель/
импортер
КПП"			9	9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000020000306		/	С	1	3				П0000200003	"Наименование
организации
поставщика"	"Наименование
поставщика"			254	20																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000020000307		/	С	1	3				П0000200003	"ИНН
организации
поставщика"	"ИНН
поставщика"			12	12																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000020000308		/	С	1	3				П0000200003	"КПП
организации
поставщика"	"КПП
поставщика"			9	9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000020000309		/	Д	1	3				П0000200003	"Дата 
закупки
(дата 
отгрузки
поставщиком)"	"Дата
закупки"				10																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000020000310		/	С	1	3				П0000200003	"Номер товарно-
транспортной
наладной"	"Номер 
ТТН"			254	12																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000020000311		/	С	1	3				П0000200003	"Номер
таможенной
декларации"	Номер ГТД			254	20																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
П000020000312		/	Ч	1	3				П0000200003	"Объем
закупленной
продукции"	"Объем
закупленной
продукции"	1		15, 5	14																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
П000020000412			Ч		4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
