Виды алкогольной продукции	
	Пустое значение
010	Спирт-сырец этиловый из пищевого сырья
020	Спирт этиловый ректификованный из пищевого сырья
025	Спирт этиловый ректификованный из непищевого растительного сырья (отходы сельскохозяйственных культур: кукурузная кочерыжка, хлопковая шелуха, подсолнечная шелуха, рисовая лузга, просяная лузга, гречневая лузга)
030	Спирт этиловый из ЗАФ
040	Спирт этиловый синтетический
050	Спирт этиловый абсолютированный (99,7% аа)
060	Другие спирты, за исключением денатурированных (гидролизный, технический и другое)
070	Спирт этиловый денатурированный из непищевого сырья
080	Спирт этиловый денатурированный из непищевого сырья
090	Фракция головная этилового спирта
091	Фракция головных и промежуточных примесей этилового спирта
092	Промежуточная фракция этилового спирта из пищевого сырья
100	Спирт этиловый по фармакопейным статьям
110	Коньячный дистиллят
120	Кальвадосный дистиллят
130	Винный дистиллят
150	Виноградный дистиллят
160	Плодовый дистиллят
170	Висковый дистиллят
200	Водка
211	Ликероводочные изделия с содержанием этилового спирта до 25% включительно
212	Ликероводочные изделия с содержанием этилового спирта свыше 25%
229	Коньяк и арманьяк, реализуемые в бутылках
231	Коньяки обработанные, предназначенные для отгрузки с целью розлива на других предприятиях или промпереработки
232	Бренди
238	Напитки коньячные с содержанием этилового спирта до 25% включительно
239	Напитки коньячные с содержанием этилового спирта свыше 25%
252	Кальвадос
260	Слабоалкогольная продукция
270	Другие спиртные напитки с содержанием этилового спирта до 25% включительно
280	Другие спиртные напитки с содержанием этилового спирта свыше 25%
321	Виноматериалы виноградные
322	Виноматериалы плодовые
330	Соки спиртованные
331	Соки сброженно-спиртованные
341	Фруктовое сусло
342	Медовое сусло
343	Пивное сусло
344	Виноградное сусло
351	Другая спиртосодержащая пищевая продукция
401	Вино (виноградное)
402	Вино с защищенным географическим указанием или с защищенным наименованием места происхождения
403	Вино (виноградное столовое)
411	Ликерное вино
421	Фруктовое (плодовое) вино
440	Вина игристые
450	Вина шампанские
461	Винный напиток с объемной долей этилового спирта от 1,5% до 22%, произведенный без добавления этилового спирта
462	Винный напиток с объемной долей этилового спирта от 1,5% от 22%, произведенный с добавлением этилового спирта
481	Парфюмерно-косметическая продукция
482	Товары бытовой химии
483	Спиртосодержащие растворы
484	Другая спиртосодержащая непищевая продукция
485	Денатурированная спиртосодержащая непищевая продукци
500	Пиво с содержанием объемной доли этилового спирта свыше 0,5% и до 8,6% включительно
510	Пиво с содержанием объемной доли этилового спирта свыше 8,6%
520	Напитки, изготавливаемые на основе пива
	
Виды деятельности	
	Пустое значение
07	Закупка, хранение и поставки алкогольной продукции
08	Закупка, хранение и поставки спиртосодержащей пищевой продукции
09	Закупка, хранение и поставки спиртосодержащей непищевой продукции
10	Хранение алкогольной продукции
11	Хранение спиртосодержащей пищевой продукции
12	Хранение этилового спирта
