Виды алкогольной продукции	
	Пустое значение
010	Спирт-сырец этиловый из пищевого сырья
020	Спирт этиловый ректификованный из пищевого сырья
025	Спирт этиловый ректификованный из непищевого растительного сырья
030	Спирт этиловый из ЭАФ
040	Спирт этиловый синтетический
050	Спирт этиловый абсолютированный
060	Другие спирты (за исключением денатурированных)
070	Спирт этиловый денатурированный из пищевого сырья
080	Спирт этиловый денатурированный из непищевого сырья
090	Фракция головная этилового спирта
091	Фракция головных и промежуточных примесей этилового спирта
092	Промежуточная фракция этилового спирта из пищевого сырья
100	Спирт этиловый по фармакопейным статьям
110	Коньячный дистиллят
120	Кальвадосный дистиллят
130	Винный дистиллят
150	Виноградный дистиллят
160	Плодовый дистиллят
170	Висковый дистиллят
200	Водка
211	Ликероводочные изделия с содержанием этилового спирта до 25% включительно
212	Ликероводочные изделия с содержанием этилового спирта свыше 25%
229	Коньяк и арманьяк, реализуемые в бутылках
230	Коньяки,реализуемые в бутылках
231	Коньяки обработанные, предназначенные для отгрузки с целью розлива на других предприятиях или промпереработки
232	Бренди
238	Напитки коньячные с содержанием этилового спирта до 25% включительно
239	Напитки коньячные с содержанием этилового спирта свыше 25%
241	Напитки коньячные, бренди с содержанием этилового спирта до 25% включительно
242	Напитки коньячные, бренди с содержанием этилового спирта свыше 25%
250	Напитки винные с содержанием этилового спирта до 25% включительно
251	Напитки винные с содержанием этилового спирта свыше 25%
252	Кальвадос
260	Слабоалкогольная продукция
261	Сидр
262	Пуаре
263	Медовуха
270	Другие спиртные напитки с содержанием этилового спирта до 25% включительно
280	Другие спиртные напитки с содержанием этилового спирта свыше 25%
300	Коньячные спирты
310	Кальвадосные спирты
320	Виноматериалы
321	Виноматериалы виноградные
322	Виноматериалы плодовые
330	Соки спиртованные
331	Соки сброженно-спиртованные
340	Дистилляты
341	Фруктовое сусло
342	Медовое сусло
343	Пивное сусло
344	Виноградное сусло
350	Другая спиртосодержащая пищевая продукция
400	Вина натуральные
401	Вино (виноградное)
402	Вино с защищенным географическим указанием или с защищенным наименованием места происхождения
403	Вино (виноградное столовое)
410	Вина (за исключением натуральных, игристых и шампанских)
411	Ликерное вино
420	Вина плодовые
421	Фруктовое (плодовое) вино
440	Вина игристые
450	Вина шампанские
460	Другие вина
461	Винный напиток с объемной долей этилового спирта от 1,5% до 22%, произведенный без добавления этилового спирта
462	Винный напиток с объемной долей этилового спирта от 1,5% от 22%, произведенный с добавлением этилового спирта
481	Парфюмерно-косметическая продукция
482	Товары бытовой химии
483	Спиртосодержащие растворы
484	Другая спиртосодержащая непищевая продукция
485	Денатурированная спиртосодержащая непищевая продукци
500	Пиво с содержанием объемной доли этилового спирта свыше 0,5% и до 8,6% включительно
510	Пиво с содержанием объемной доли этилового спирта свыше 8,6%
520	Напитки, изготавливаемые на основе пива
	
Виды деятельности	
	Пустое значение
01	Производство, хранение и поставки произведенного этилового спирта, в том числе денатурата
02	Производство, хранение и поставки произведенной алкогольной и спиртосодержащей пищевой продукции
03	Закупка, хранение и поставки алкогольной и спиртосодержащей продукции
04	Производство, хранение и поставки спиртосодержащей непищевой продукции
05	Хранение этилового спирта, алкогольной и спиртосодержащей пищевой продукции
08	Закупка алкогольной и спиртосодержащей продукции с содержанием этилового спирта более 25 процентов объема готовой продукции для использования ее в качестве сырья или вспомогательного материала, не связанного с производством алкогольной и спиртосодержащей продукции
09	Организации, осуществляющие производство и (или) оборот пива, пивных напитков, сидра, пуаре и медовухи
10	Закупка этилового спирта по фармакопейным статьям в объеме более 200 декалитров в год в целях его использования в качестве лекарственного средства и (или) для производства лекарственных препаратов, включенных в государственный реестр лекарственных средств, и (или) в целях его использования для собственных нужд
11	Закупка этилового спирта для использования этилового спирта в объеме более 200 декалитров в год на технические или иные цели, не связанные с производством этилового спирта, алкогольной и спиртосодержащей продукции

Субъекты РФ	
	Пустое значение
01	Республика Адыгея (Адыгея)
02	Республика Башкортостан
03	Республика Бурятия
04	Республика Алтай
05	Республика Дагестан
06	Республика Ингушетия
07	Кабардино-Балкарская Республика
08	Республика Калмыкия
09	Карачаево-Черкесская Республика
10	Республика Карелия
11	Республика Коми
12	Республика Марий Эл
13	Республика Мордовия
14	Республика Саха (Якутия)
15	Республика Северная Осетия-Алания
16	Республика Татарстан (Татарстан)
17	Республика Тыва
18	Удмуртская Республика
19	Республика Хакасия
20	Чеченская Республика
21	Чувашская Республика – Чувашия
22	Алтайский край
23	Краснодарский край
24	Красноярский край
25	Приморский край
26	Ставропольский край
27	Хабаровский край
28	Амурская область
29	Архангельская область
30	Астраханская область
31	Белгородская область
32	Брянская область
33	Владимирская область
34	Волгоградская область
35	Вологодская область
36	Воронежская область
37	Ивановская область
38	Иркутская область
39	Калининградская область
40	Калужская область
41	Камчатская область
42	Кемеровская область
43	Кировская область
44	Костромская область
45	Курганская область
46	Курская область
47	Ленинградская область
48	Липецкая область
49	Магаданская область
50	Московская область
51	Мурманская область
52	Нижегородская область
53	Новгородская область
54	Новосибирская область
55	Омская область
56	Оренбургская область
57	Орловская область
58	Пензенская область
59	Пермская область
60	Псковская область
61	Ростовская область
62	Рязанская область
63	Самарская область
64	Саратовская область
65	Сахалинская область
66	Свердловская область
67	Смоленская область
68	Тамбовская область
69	Тверская область
70	Томская область
71	Тульская область
72	Тюменская область
73	Ульяновская область
74	Челябинская область
75	Читинская область
76	Ярославская область
77	г. Москва
78	Санкт-Петербург
79	Еврейс кая автономная область
80	Агинский Бурятский автономный округ
81	Коми-Пермяцкий автономный округ*
82	Корякский автономный округ
83	Ненецкий автономный округ
84	Таймырский (Долгано-Ненецкий) автономный округ
85	Усть – Ордынский Бурятский автономный округ
86	Ханты – Мансийский автономный округ – Югра
87	Чукотский автономный округ
88	Эвенкийский автономный округ
89	Ямало – Ненецкий автономный округ
91	Республика Крым
92	г. Севастополь
99	Иные территории, включая город и космодром Байконур
