Виды продукции	
	Пустое значение
010	Спирт-сырец этиловый из пищевого сырья
020	Спирт этиловый ректификованный из пищевого сырья
025	Спирт этиловый ректификованный из непищевого растительного сырья
030	Спирт этиловый из ЭАФ
040	Спирт этиловый синтетический
050	Спирт этиловый абсолютированный
060	Другие спирты за исключением денатурированных (гидролизный, технический и другие)
070	Спирт этиловый денатурированный из пищевого сырья
080	Спирт этиловый денатурированный из непищевого сырья
090	Фракция головная этилового спирта
091	Фракция головных и промежуточных примесей этилового спирта
092	Промежуточная фракция этилового спирта из пищевого сырья
100	Спирт этиловый по фармакопейным статьям
110	Коньячный дистиллят
120	Кальвадосный дистиллят
130	Винный дистиллят
140	Спирт этиловый питьевой
150	Виноградный дистиллят
160	Плодовый дистиллят
170	Висковый дистиллят
200	Водка
211	Ликероводочные изделия с содержанием этилового спирта до 25% включительно
212	Ликероводочные изделия с содержанием этилового спирта свыше 25%
229	Коньяк и арманьяк, реализуемые в бутылках
230	Коньяки, реализуемые в бутылках
231	Коньяки обработанные, предназначенные для отгрузки с целью розлива на других предприятиях или промпереработки
232	Бренди
238	Напитки коньячные с содержанием этилового спирта до 25% включительно
239	Напитки коньячные с содержанием этилового спирта свыше 25%
241	Напитки коньячные, бренди с содержанием этилового спирта до 25% включительно
242	Напитки коньячные, бренди с содержанием этилового спирта свыше 25%
250	Напитки винные с содержанием этилового спирта до 25% включительно
251	Напитки винные с содержанием этилового спирта свыше 25%
252	Кальвадос
260	Слабоалкогольная продукция
270	Другие спиртные напитки с содержанием этилового спирта до 25% включительно
280	Другие спиртные напитки с содержанием этилового спирта свыше 25%
300	Коньячные спирты
310	Кальвадосные спирты
320	Виноматериалы
321	Виноматериалы виноградные
322	Виноматериалы плодовые
330	Соки спиртованные
331	Соки сброженно-спиртованные
340	Дистилляты
341	Фруктовое сусло
342	Медовое сусло
343	Пивное сусло
344	Виноградное сусло
350	Другая спиртосодержащая пищевая продукция
400	Вина натуральные
401	Вино (виноградное)
402	Вино с защищенным географическим указанием или с защищенным наименованием места происхождения
403	Вино (виноградное столовое)
410	Вина (за исключением натуральных, игристых и шампанских)
411	Ликерное вино
420	Вина плодовые
421	Фруктовое (плодовое) вино
440	Вина игристые
450	Вина шампанские
460	Другие вина
461	Винный напиток с объемной долей этилового спирта от 1,5% до 22%, произведенный без добавления этилового спирта
462	Винный напиток с объемной долей этилового спирта от 1,5% до 22%, произведенный с добавлением этилового спирта
481	Парфюмерно-косметическая продукция
482	Товары бытовой химии
483	Спиртосодержащие растворы
484	Другая спиртосодержащая непищевая продукция
485	Денатурированная спиртосодержащая непищевая продукция
500	Пиво с содержанием объемной доли этилового спирта свыше 0,5% и до 8,6% включительно
510	Пиво с содержанием объемной доли этилового спирта свыше 8,6%
520	Напитки, изготавливаемые на основе пива

Виды деятельности	
	Пустое значение
01	Производство, хранение и поставки произведенного этилового спирта, в том числе денатурированного
02	Производство, хранение и поставки произведенного этилового спирта питьевого (относится к алкогольной продукции, для районов Крайнего Севера и приравненных к ним местностей в соответствии с перечнем, утвержденным Правительством Российской Федерации)
03	Производство, хранение и поставки произведенных спиртных напитков
04	Производство, хранение и поставки произведенной алкогольной продукции
05	Производство, хранение и поставки произведенной спиртосодержащей пищевой продукции
06	Производство, хранение и поставки произведенной спиртосодержащей непищевой продукции
07	Закупка, хранение и поставки алкогольной продукции
08	Закупка, хранение и поставки спиртосодержащей пищевой продукции
09	Закупка, хранение и поставки спиртосодержащей непищевой продукции
10	Хранение алкогольной продукции
11	Хранение спиртосодержащей пищевой продукции
12	Хранение этилового спирта
13	"Закупка и использование:
- этилового спирта, в том числе денатурированный, в объеме свыше 200 дал в год на технические или иные цели, не связанные с производством денатурированного этилового спирта, алкогольной и спиртосодержащей продукции
- алкогольной и спиртосодержащей продукции в качестве сырья или вспомогательного материала при производстве иной продукции"
16	Организация, осуществляющая производство и оборот пива и пивных напитков
